Candidato;Partido;Coligação;Situação;Votação;Receita_total
ABDO LCARIM MAZLOUM;PDT;PDT;Suplente;12360;166137,62
ABEL LIMA RIVERO;PEN;PEN;Não eleito;1531;1150,14
ABIMAEL SANTOS SOUSA;PSOL;PSOL / PSTU;Suplente;4232;2300
ABRÃO GEORGES RESTOM;PMDB;PMDB / PROS / PP / PSD;Suplente;940;48639,94
ADALBERTO APARECIDO DOS SANTOS;PTB;PTB;Suplente;749;3576
ADALBERTO FELIX MARTINS;PHS;PHS / PRP;Não eleito;553;455
ADAURY CAMPOS DE BARROS;PTB;PTB;Suplente;2761;6745,35
ADAUTO APARECIDO SCARDOELLI;PT;PT / PC do B;Suplente;62607;2464290,52
ADEILDE MARY ALVES ANTUNES;PMN;PSL / PTN / PMN / PTC / PT do B;Suplente;2943;2749
ADEL CHARAF EDDINE;PMDB;PMDB / PROS / PP / PSD;Suplente;9436;107764,77
ADELAIDE PEREIRA DE SOUSA;SD;SD;Suplente;568;8795,53
ADELMIRO DE SOUZA BARCELLOS;PT do B;PSL / PTN / PMN / PTC / PT do B;Suplente;163;1177,4
ADELSON DE SOUZA PENHA;PV;PV;Não eleito;0;4000
ADEMIR ALBANO LOPES;PT do B;PSL / PTN / PMN / PTC / PT do B;Suplente;5491;19159,14
ADERMIS MARINI JUNIOR;PSDB;PSDB / DEM / PPS;Suplente;25389;139140,61
ADILSON BARROSO OLIVEIRA;PEN;PEN;Não eleito;35238;1368087,69
ADILSON MARCOS NICOLETTI;PEN;PEN;Não eleito;7559;110086,28
ADIZIO ALVES BEZERRA;PMN;PSL / PTN / PMN / PTC / PT do B;Suplente;157;693,5
ADLER ALFREDO JARDIM TEIXEIRA;PSC;PSC;Suplente;31720;219647,07
ADMIR GERVASIO MOREIRA;PTN;PSL / PTN / PMN / PTC / PT do B;Suplente;3339;22596,02
ADRIANA APARECIDA PAONE;PSOL;PSOL / PSTU;Suplente;905;4288
ADRIANA ESTEVES;PHS;PHS / PRP;Não eleito;408;0
ADRIANA LEA SANTOS ALMEIDA NEVES;PRB;PRB;Suplente;848;19797,7
ADRIANA RODRIGUES DE OLIVEIRA;PT do B;PSL / PTN / PMN / PTC / PT do B;Suplente;447;1395,6
ADRIANA SILVA RENAUT CAVALHEIRO;PTC;PSL / PTN / PMN / PTC / PT do B;Suplente;796;2155
ADRIANA SIMÕES DE ARAUJO;PV;PV;Suplente;1617;111,11
ADRIANO DIOGO;PT;PT / PC do B;Suplente;54904;1624480,73
ADRIANO ELI CORREA;DEM;PSDB / DEM / PPS;Eleito por QP;134138;1107579,77
ADRIANO LEME IKE;PSC;PSC;Suplente;770;2476,84
ADRIANO VITAL DA SILVA;PRB;PRB;Suplente;1024;5757,24
AGNALDO SAMPAIO;PTC;PSL / PTN / PMN / PTC / PT do B;Suplente;658;979,97
AGOSTINHO FERREIRA GOMES;PSOL;PSOL / PSTU;Suplente;1330;8500
AGRIPINO BARBOSA MACEDO;PRTB;PRTB;Não eleito;2857;13535,03
AGUINALDO OLIVEIRA DA ROCHA;PMN;PSL / PTN / PMN / PTC / PT do B;Suplente;679;19265
AGUINALDO TRIUMPHO AVELLAR;PMDB;PMDB / PROS / PP / PSD;Suplente;1524;17389,27
AHMAD SAID MOURAD;PEN;PEN;Não eleito;7587;131808
AIDAN ANTONIO RAVIN;PSB;PSB;Suplente;50473;132439,52
AILTON AMARAL DOS SANTOS;PSOL;PSOL / PSTU;Suplente;1120;1225
AILTON JOSÉ DE LIMA;SD;SD;Suplente;20640;290970,41
AILTON VICENTE DE OLIVEIRA;PHS;PHS / PRP;Não eleito;3719;878
AJURICABA DE SOUZA MENEZES;PMDB;PMDB / PROS / PP / PSD;Suplente;905;16869,82
AKIKO AKIYAMA;PSOL;PSOL / PSTU;Suplente;1634;1125
ALAN APARECIDO CHIQUETTO DE OLIVEIRA;SD;SD;Suplente;2521;100062,72
ALBERI JOSÉ THOMAZ DE SOUZA JUNIOR;PTB;PTB;Suplente;121;0
ALBERT HENRY HORNETT;PV;PV;Suplente;803;0
ALBERTINA ALEXANDRE DA SILVA;PSC;PSC;Suplente;351;0
ALBERTO BETÃO PEREIRA JUSTINO;PT do B;PSL / PTN / PMN / PTC / PT do B;Suplente;15190;455617,87
ALBERTO RIBEIRO SILVA;PTB;PTB;Suplente;2909;14515,95
ALDO JOSIAS DOS SANTOS;PSOL;PSOL / PSTU;Suplente;2466;15695,68
ALESSANDER BARREIRA VIGNA;PSC;PSC;Suplente;2489;12660,52
ALESSANDRA DE PAIVA LIMA;PSTU;PSOL / PSTU;Suplente;510;1255,92
ALESSANDRO FERREIRA LOPES;PV;PV;Suplente;703;0
ALEX DA MATA SILVA;PSOL;PSOL / PSTU;Suplente;1922;10106
ALEX JUNIOR VIANA DE FREITAS;PSOL;PSOL / PSTU;Suplente;564;250
ALEX NAVARRA GONÇALVES;PRB;PRB;Suplente;701;25689,4
ALEX PEREIRA DE MATOS;PSB;PSB;Suplente;10650;164411,18
ALEX SPINELLI MANENTE;PPS;PSDB / DEM / PPS;Eleito por QP;164760;1187824,03
ALEX VATUTIN HATO;PMDB;PMDB / PROS / PP / PSD;Suplente;27715;392726,14
ALEXANDRE APARECIDO PORFIRIO;PDT;PDT;Suplente;598;7860,53
ALEXANDRE BREVIGLIERI ALVES CASTILHO;PSOL;PSOL / PSTU;Suplente;4488;15170,19
ALEXANDRE DOS SANTOS RODRIGUES;PSB;PSB;Suplente;19488;191624,76
ALEXANDRE EVARISTO CUNHA;PT;PT / PC do B;Suplente;34768;635903,64
ALEXANDRE GASPARINI JUNIOR;PSB;PSB;Suplente;2563;0
ALEXANDRE GOMES FERREIRA;PTB;PTB;Suplente;4043;3221,55
ALEXANDRE LEITE DA SILVA;DEM;PSDB / DEM / PPS;Eleito por médi;109708;4246008,71
ALEXANDRE MORATO DE SALES;PEN;PEN;Não eleito;1369;745
ALEXANDRE RUFINO DE LIMA;PMDB;PMDB / PROS / PP / PSD;Suplente;1046;111773,7
ALEXANDRE SANTANA SALLY;PEN;PEN;Não eleito;1303;105240
ALEXANDRO DE ARAUJO;PT;PT / PC do B;Suplente;10549;122262,8
ALFREDO LUIZ ONDAS;PMDB;PMDB / PROS / PP / PSD;Suplente;5487;18653,87
ALINE CATARINE GONDIM;PSOL;PSOL / PSTU;Suplente;502;150
ALINE CRISTINA FERNANDES DA ROCHA;PSB;PSB;Suplente;455;0
ALINE LEMOS CORRÊA DE OLIVEIRA ANDRADE;PP;PMDB / PROS / PP / PSD;Não eleito;0;219200
ALLINE  DE OLIVEIRA SANTANA;PSC;PSC;Suplente;310;0
ALLINY FERNANDA ROGERIO;SD;SD;Suplente;4638;116486,15
ALOYSIO SANTOS PASSOS;SD;SD;Suplente;1232;21505,29
ALUIZIO LEONARDO;PDT;PDT;Não eleito;0;10933,889999999
ALVARO CESAR JORGE;PSDC;PSDC;Não eleito;300;0
ALVARO LUIZ PINTO PANTALEÃO;PSB;PSB;Suplente;402;2830
ALVARO ORNELLAS;PMDB;PMDB / PROS / PP / PSD;Suplente;495;1951
AMELIA NAOMI OMURA;PT;PT / PC do B;Suplente;77831;1201076,26
AMÉLIA ROSA DO NASCIMENTO;PMDB;PMDB / PROS / PP / PSD;Suplente;257;10394,5
AMILTON PACHECO DA SILVA;PSB;PSB;Suplente;2349;13212,72
AMIRAH SABA;PRB;PRB;Suplente;645;4559
ANA CECILIA CATTAN;PTB;PTB;Suplente;544;3677,8
ANA LIDIA DE OLIVEIRA AGUIAR;PT;PT / PC do B;Suplente;5649;15000
ANA LUCIA CORDEIRO BEZERRA;PT do B;PSL / PTN / PMN / PTC / PT do B;Suplente;201;1102,4
ANA LUCIA LIPPAUS PERUGINI;PT;PT / PC do B;Eleito por QP;121681;1100485,85
ANA MARIA DE OLIVEIRA;PRB;PRB;Não eleito;0;8645,0799999999
ANA MARIA MONTEIRO CRAVEIRO BRISOTTI;PSDB;PSDB / DEM / PPS;Suplente;2107;200
ANA PAULA  OLIVEIRA GUIMARÃES;PHS;PHS / PRP;Não eleito;1999;6797,7
ANA PEREIRA DA SILVA;PSB;PSB;Suplente;605;8530,46
ANAÍ CAPRONI PINTO;PCO;PCO;Não eleito;962;967,41999999999
ANDERSON BENEVIDES DOS SANTOS;PSC;PSC;Suplente;38163;925976,86999999
ANDERSON DELBUE GIANETTI;PDT;PDT;Suplente;1891;31968,299999999
ANDERSON DOS SANTOS;PTN;PSL / PTN / PMN / PTC / PT do B;Suplente;850;5700,2699999999
ANDERSON DOS SANTOS SILVA;PSDB;PSDB / DEM / PPS;Suplente;3302;6667,46
ANDERSON NÓBREGA;PR;PR;Suplente;11230;101902,99999999
ANDERSON NUNES DA SILVA;PRP;PHS / PRP;Não eleito;0;1862,5
ANDRÉ ALBEJANTE MAZON;PV;PV;Suplente;4530;98298,19
ANDRE BELIZARIO JACINTO;PT do B;PSL / PTN / PMN / PTC / PT do B;Suplente;112;3227,3999999999
ANDRÉ ELIAS RODINI LUIZ;PV;PV;Suplente;4149;12115,2
ANDRE LUIZ CAGNI;PV;PV;Suplente;6574;34918,76
ANDRE LUIZ MARQUESANI DOMINGOS;PSDC;PSDC;Não eleito;492;1863,8299999999
ANDRÉ LUIZ MIRAGAIA MENDES;PV;PV;Suplente;3234;24620
ANDRÉ MARTINS MACHADO;PV;PV;Suplente;251;6825
ANDRÉ RUBENS TRINDADE;DEM;PSDB / DEM / PPS;Suplente;3961;41160
ANDREA FERNANDEZ GRIFFO;PSL;PSL / PTN / PMN / PTC / PT do B;Suplente;678;0
ANDREA LETICIA DE SOUZA BARROS;PRP;PHS / PRP;Não eleito;250;0
ANDRÉA MARCIA DA SILVA OLIVEIRA;PRB;PRB;Suplente;200;4666,46
ANDREA PIRES DA SILVEIRA COSTA;PEN;PEN;Não eleito;249;1224
ANDREA SILVA MARTINS;PMDB;PMDB / PROS / PP / PSD;Suplente;443;20394,5
ANDRÉIA CRISTINA BELTRAN DE ATAÍDE;PDT;PDT;Suplente;492;10794,389999999
ANDREIA OLIVEIRA DA SILVA ENGUE;PSC;PSC;Suplente;258;0
ANDRES NAVARRO SANCHEZ;PT;PT / PC do B;Eleito por QP;169834;2134926,67
ANDREZA CALABRIA GALAN;PSB;PSB;Não eleito;14335;126125,58
ANGELO DOMINGOS NUCCI;PV;PV;Suplente;535;126125,58
ANGELO MAXIMO XAVIER PINTO;PV;PV;Suplente;535;130
ANISIO COSTA CASTELO BRANCO;PHS;PHS / PRP;Não eleito;178;0
ANITA LIMA BEZERRA NINI;PP;PMDB / PROS / PP / PSD;Suplente;884;689
ANIVALDO LAURINDO FERREIRA;PSOL;PSOL / PSTU;Suplente;1313;10250
ANSELMO AUGUSTO BRANCO BASTOS;PRB;PRB;Suplente;1236;138
ANSELMO NEVES MAIA;PRB;PRB;Não eleito;0;7600,07
ANSELMO PIRES DA SILVA NETO;PSOL;PSOL / PSTU;Suplente;1503;1295
ANTENOR NOGUEIRA LIMA;PRTB;PRTB;Não eleito;402;747,92
ANTONIA CHAGAS MORO;PR;PR;Suplente;1122;4098
