"NUMERO_CANDIDATO","QTDE_VOTOS"
"10","126620"
"1000","1633284"
"1001","30414"
"1002","10161"
"1003","1031"
"1004","10060"
"1005","712"
"1006","14"
"1007","7064"
"1008","240"
"1009","460"
"1010","1473483"
"1011","189461"
"1012","183718"
"1013","10435"
"1014","4611"
"1015","4752"
"1016","645"
"1017","1326"
"1018","14984"
"1019","913"
"1020","32134"
"1021","10920"
"1022","41436"
"1023","66162"
"1024","809"
"1025","1395"
"1026","262"
"1027","1236"
"1028","824"
"1029","2292"
"1030","18728"
"1031","383"
"1032","2861"
"1033","109036"
"1034","1236"
"1035","1270"
"1036","2011"
"1037","1797"
"1038","963"
"1039","41"
"1040","33659"
"1041","3316"
"1042","1003"
"1043","257"
"1044","32198"
"1045","7610"
"1046","7948"
"1047","2274"
"1048","1024"
"1049","406"
"1050","5275"
"1051","3880"
"1052","346"
"1053","2520"
"1054","564"
"1055","14990"
"1056","220"
"1057","5722"
"1058","1715"
"1059","660"
"1060","5799"
"1061","2413"
"1062","1197"
"1063","723"
"1064","252"
"1065","4811"
"1066","7904"
"1067","953"
"1068","192"
"1069","522"
"1070","1574"
"1072","274"
"1073","20"
"1074","479"
"1075","14651"
"1076","323"
"1077","11505"
"1078","131064"
"1079","11407"
"1080","30615"
"1081","1301"
"1082","848"
"1083","848"
"1084","57"
"1085","80643"
"1086","317"
"1087","644"
"1088","787"
"1089","2236"
"1090","6084"
"1091","2171"
"1092","597"
"1093","1992"
"1094","768"
"1095","866"
"1096","21205"
"1097","1202"
"1098","1961"
"1099","12626"
"11","270956"
"1100","308745"
"1101","257"
"1102","980"
"1105","209304"
"1107","1375"
"1108","49"
"1111","1847988"
"1112","116996"
"1113","60695"
"1115","188028"
"1117","422"
"1118","2033"
"1119","1095"
"1120","621307"
"1121","109510"
"1122","618412"
"1123","147903"
"1125","62429"
"1127","1455"
"1129","572"
"1130","3340"
"1131","2015"
"1132","1589"
"1133","428018"
"1135","129"
"1140","8587"
"1144","367337"
"1145","213420"
"1149","27"
"1151","114685"
"1153","122"
"1155","188251"
"1156","235"
"1158","546"
"1159","530"
"1166","135290"
"1167","143"
"1170","59532"
"1171","1325"
"1172","1165"
"1177","19977"
"1178","30561"
"1187","2282"
"1188","1578"
"1190","72550"
"1193","4004"
"1199","210993"
"12","327350"
"1200","365865"
"1201","19261"
"1202","5217"
"1203","731"
"1204","541"
"1206","445"
"1207","3506"
"1208","331"
"1209","120"
"1210","11529"
"1211","95533"
"1212","1020975"
"1213","33731"
"1214","6541"
"1215","4331"
"1216","624"
"1217","32398"
"1218","10333"
"1220","16198"
"1221","157023"
"1222","85206"
"1223","11615"
"1224","520"
"1225","40934"
"1226","925"
"1227","619"
"1229","3724"
"1230","10336"
"1231","98511"
"1232","2860"
"1233","160171"
"1234","804810"
"1235","8050"
"1236","28669"
"1237","1409"
"1238","1637"
"1239","1376"
"1240","713"
"1241","492"
"1242","18180"
"1243","6636"
"1244","7518"
"1245","15934"
"1246","1064"
"1248","121"
"1249","337"
"1250","6091"
"1251","158"
"1252","240"
"1254","1439"
"1255","14532"
"1256","5741"
"1257","679"
"1258","3425"
"1260","9340"
"1261","650"
"1262","9876"
"1263","53"
"1264","505"
"1265","16794"
"1266","6035"
"1267","5719"
"1268","762"
"1269","20754"
"1270","1127"
"1277","25568"
"1278","226"
"1279","119"
"1280","2695"
"1283","441"
"1284","49"
"1286","111"
"1288","1166"
"1290","5613"
"1291","330"
"1292","152"
"1296","36"
"1297","617"
"1299","35478"
"13","1750181"
"1300","519166"
"1301","349782"
"1302","3611"
"1303","96510"
"1304","26362"
"1305","3935"
"1306","1505"
"1307","346135"
"1308","1352"
"1309","17022"
"1310","630305"
"1311","604784"
"1312","656566"
"1313","1595034"
"1314","552241"
"1315","218997"
"1316","308"
"1317","4100"
"1318","75539"
"1319","141"
"1320","211151"
"1321","304260"
"1322","641144"
"1323","22713"
"1324","1706"
"1325","8160"
"1327","62607"
"1328","7287"
"1330","339681"
"1331","535950"
"1332","82902"
"1333","520512"
"1334","33854"
"1335","101230"
"1336","109792"
"1337","5346"
"1339","312"
"1340","17627"
"1342","6633"
"1343","775"
"1344","25647"
"1345","254672"
"1346","111252"
"1347","5859"
"1349","693"
"1350","470830"
"1351","55047"
"1353","102082"
"1354","169834"
"1355","164485"
"1356","3603"
"1357","4414"
"1359","2193"
"1360","797"
"1361","5492"
"1363","199635"
"1365","11397"
"1366","33932"
"1367","15011"
"1368","54904"
"1369","75887"
"1370","283190"
"1371","1123"
"1372","834"
"1373","126623"
"1377","81528"
"1378","13190"
"1379","1108"
"1380","206135"
"1381","1198"
"1382","997"
"1386","149"
"1387","80181"
"1388","7242"
"1389","1734"
"1390","148322"
"1391","188181"
"1392","149"
"1393","1575"
"1394","6673"
"1395","396"
"1398","111400"
"1399","63918"
"14","210554"
"1400","259433"
"1401","8720"
"1402","2215"
"1403","703"
"1404","1395"
"1405","1414"
"1406","42576"
"1407","607"
"1408","1942"
"1409","2464"
"1410","255431"
"1411","188279"
"1412","115736"
"1413","21148"
"1414","1076210"
"1415","120120"
"1416","5053"
"1417","684"
"1418","712"
"1419","1183"
"1420","69308"
"1421","173"
"1422","8165"
"1423","97958"
"1424","272"
"1425","4882"
"1427","142"
"1428","201"
"1429","1990"
"1430","42017"
"1431","746"
"1432","1791"
"1433","187635"
"1434","112711"
"1435","1044"
"1436","13184"
"1437","539"
"1438","73949"
"1439","628"
"1440","19948"
"1441","6724"
"1442","3750"
"1443","6667"
"1444","156627"
"1445","60951"
"1446","732"
"1447","5085"
"1448","2398"
"1449","120"
"1450","19064"
"1451","105565"
"1452","115595"
"1453","18428"
"1454","1296"
"1455","13577"
"1456","186279"
"1457","691"
"1458","1123"
"1459","2062"
"1460","3200"
